2025-05-22 15:40:43 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 1304
2025-05-22 15:40:43 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2025-05-22 15:40:43 0 [Note] InnoDB: Uses event mutexes
2025-05-22 15:40:43 0 [Note] InnoDB: Compressed tables use zlib 1.3
2025-05-22 15:40:43 0 [Note] InnoDB: Number of pools: 1
2025-05-22 15:40:43 0 [Note] InnoDB: Using SSE2 crc32 instructions
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=141, page number=3] with future log sequence number 877629
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=150, page number=3] with future log sequence number 877692
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=168, page number=3] with future log sequence number 877671
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=142, page number=3] with future log sequence number 877650
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=326] with future log sequence number 875561
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 874127
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=8] with future log sequence number 876087
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 874127
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=59] with future log sequence number 870749
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=1, page number=3] with future log sequence number 875907
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 870749
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 870360
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=305] with future log sequence number 876190
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=304] with future log sequence number 870065
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=303] with future log sequence number 869942
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=302] with future log sequence number 875969
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=202, page number=5] with future log sequence number 868711
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=211] with future log sequence number 879207
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=336] with future log sequence number 879207
2025-05-22 15:40:43 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=63] with future log sequence number 879163
